348892	仕事	仕事	しごと
349029	田んぼ	田んぼ	たんぼ
349021	注ぎます	注ぐ	そそぐ
348984	声楽	声楽	せいがく
348767	名前	名前	なまえ
349061	売って	売る	うる
348944	受ける	受ける	うける
348998	草原	草原	そうげん
348797	遠い	遠い	とおい
349073	冷水	冷水	れいすい
349005	体力	体力	たいりょく
348830	起床	起床	きしょう
348908	新聞紙	新聞紙	しんぶんし
348977	地図	地図	ちず
348881	困って	困る	こまる
348976	森	森	もり
348889	困難	困難	こんなん
348934	取得	取得	しゅとく
349024	昼食	昼食	ちゅうしょく
348954	事務所	事務所	じむしょ
349008	台所	台所	だいどころ
348824	帰ります	帰る	かえる
348838	魚	魚	さかな
348897	使って	使う	つかう
348776	一人旅	一人旅	ひとりたび
349064	方	方	かた
348955	暑い	暑い	あつい
349033	低速	低速	ていそく
349047	国内	国内	こくない
348857	血	血	ち
349066	未定	未定	みてい
349032	通学	通学	つうがく
348796	東京駅	東京駅	とうきょうえき
348851	苦い	苦い	にがい
348802	映して	映す	うつす
349083	薬局	薬局	やっきょく
348769	菜の花	菜の花	なのはな
348905	会社	会社	かいしゃ
348913	親指	親指	おやゆび
349018	短かった	短い	みじかい
349009	多々	多々	たた
349041	この度	この度	このたび
348852	空	空	そら
348790	暗黒	暗黒	あんこく
348987	静止画	静止画	せいしが
348825	音楽会	音楽会	おんがくかい
348808	温泉	温泉	おんせん
348763	英語	英語	えいご
348921	所持	所持	しょじ
348893	市	市	し
348780	医者	医者	いしゃ
348960	春秋	春秋	しゅんじゅう
348925	写真	写真	しゃしん
348939	習字	習字	しゅうじ
348900	始めます	始める	はじめる
349071	薬	薬	くすり
349007	待ちます	待つ	まつ
349015	私の体	体	からだ
348922	持って	持つ	もつ
348766	暗い	暗い	くらい
349010	地震	地震	じしん
348798	遊園地	遊園地	ゆうえんち
349038	この町	町	まち
348918	耳の穴	耳の穴	みみのあな
348985	大雪	大雪	おおゆき
349043	冬	冬	ふゆ
349022	着て	着る	きる
349096	両方	両方	りょうほう
348876	好みます	好む	このむ
348861	血液	血液	けつえき
348935	終日	終日	しゅうじつ
349050	特にすし	特に	とくに
348992	説明	説明	せつめい
348858	空席	空席	くうせき
349023	注意	注意	ちゅうい
349072	林	林	はやし
348755	屋上	屋上	おくじょう
348997	走る	走る	はしる
349051	鳥肉	鳥肉	とりにく
348868	公園	公園	こうえん
348878	降り	降りる	おりる
349046	頭部	頭部	とうぶ
349025	到着	到着	とうちゃく
348951	宿舎	宿舎	しゅくしゃ
349085	雑木林	雑木林	ぞうきばやし
348863	決めました	決める	きめる
348762	何年	何年	なんねん
349014	地下	地下	ちか
348896	私の名前	名前	わたしのなまえ
349058	上品	上品	じょうひん
348993	演説	演説	えんぜつ
348793	運びます	運ぶ	はこぶ
349089	冷たい	冷たい	つめたい
348782	大学院	大学院	だいがくいん
348867	工事	工事	こうじ
348891	止む	止む	やむ
348799	飲料	飲料	いんりょう
348856	軽い	軽い	かるい
348805	屋上	屋上	おくじょう
349044	離島	離島	りとう
349013	短命	短命	たんめい
349067	明るい	明るい	あかるい
348765	都合	都合	つごう
348914	白い紙	紙	かみ
348937	首が長い	首	くび
348761	都内	都内	とない
349053	配達	配達	はいたつ
349034	着いたら	着く	つく
348786	職員かいぎ	職員	しょくいん
348773	閉めて	閉める	しめる
348906	思い	思う	おもう
348920	あの事	事	こと
348956	少し	少し	すこし
349081	夜食	夜食	やしょく
348807	音	音	おと
348809	化学	化学	かがく
348929	借りました	借りる	かりる
349026	山中町	山中町	やまなかちょう
348792	飲む	飲む	のむ
348978	声	声	こえ
349065	妹	妹	いもうと
348794	映画	映画	えいが
349075	髪の毛	髪の毛	かみのけ
348986	晴天	晴天	せいてん
349004	太平洋	太平洋	たいへいよう
348850	区	区	く
348943	終わりました	終わる	おわる
348982	切って	切る	きる
349100	教えて	教える	おしえる
348947	集合	集合	しゅうごう
348991	積雪	積雪	せきせつ
348916	次の	次	つぎ
348801	肉屋	肉屋	にくや
349036	お昼ご飯	お昼ご飯	おひるごはん
348874	公	公	おおやけ
348983	正式	正式	せいしき
349068	質問	質問	しつもん
348848	子牛	子牛	こうし
349098	見ました	見る	みる
349091	有料	有料	ゆうりょう
349028	小鳥	小鳥	ことり
348757	全部	全部	ぜんぶ
348958	重力	重力	じゅうりょく
348752	小さい	小さい	ちいさい
348849	銀色	銀色	ぎんいろ
348903	使用	使用	しよう
349095	冷やして	冷やす	ひやす
348950	重い	重い	おもい
349094	資料	資料	しりょう
348748	作り方	作り方	つくりかた
348770	青い	青い	あおい
348800	運転	運転	うんてん
348975	ひとり親	ひとり親	ひとりおや
349097	小林	小林	こばやし
349012	知らない	知る	しる
348968	真実	真実	しんじつ
348872	決定	決定	けってい
349077	羽毛	羽毛	うもう
348772	両替	両替	りょうがえ
348842	近い	近い	ちかい
349084	冷えます	冷える	ひえる
348753	歌手	歌手	かしゅ
348811	家族	家族	かぞく
