new	349021	注ぎます	注ぐ	そそぐ	
new	348984	声楽	声楽	せいがく	
likely_variant	348944	受ける	受ける	うける	new_vocab_n4:受けます/うけます
new	348998	草原	草原	そうげん	
new	349073	冷水	冷水	れいすい	
new	348830	起床	起床	きしょう	
likely_variant	348881	困って	困る	こまる	new_vocab_n4:困ります/こまります
new	348976	森	森	もり	
new	348889	困難	困難	こんなん	
new	348934	取得	取得	しゅとく	
likely_variant	348824	帰ります	帰る	かえる	new_vocab_n4:帰ってきます/かえってきます | kanji_n5:帰ります/かえります
new	348776	一人旅	一人旅	ひとりたび	
new	349064	方	方	かた	
new	349033	低速	低速	ていそく	
new	348857	血	血	ち	
new	349066	未定	未定	みてい	
new	349032	通学	通学	つうがく	
new	348796	東京駅	東京駅	とうきょうえき	
new	348802	映して	映す	うつす	
new	348769	菜の花	菜の花	なのはな	
new	348913	親指	親指	おやゆび	
new	349009	多々	多々	たた	
new	349041	この度	この度	このたび	
new	348790	暗黒	暗黒	あんこく	
new	348987	静止画	静止画	せいしが	
new	348825	音楽会	音楽会	おんがくかい	
new	348921	所持	所持	しょじ	
new	348893	市	市	し	
new	348960	春秋	春秋	しゅんじゅう	
new	348939	習字	習字	しゅうじ	
new	349015	私の体	体	からだ	
new	348798	遊園地	遊園地	ゆうえんち	
new	348918	耳の穴	耳の穴	みみのあな	
new	349096	両方	両方	りょうほう	
new	348876	好みます	好む	このむ	
new	348861	血液	血液	けつえき	
new	348858	空席	空席	くうせき	
likely_variant	349023	注意	注意	ちゅうい	new_vocab_n4:注意します/ちゅういします | new_vocab_n4:注意します/ちゅういします
new	349072	林	林	はやし	
new	349046	頭部	頭部	とうぶ	
new	348951	宿舎	宿舎	しゅくしゃ	
new	349085	雑木林	雑木林	ぞうきばやし	
likely_variant	348863	決めました	決める	きめる	new_vocab_n4:決めます/きめます
new	348762	何年	何年	なんねん	
new	349058	上品	上品	じょうひん	
new	348993	演説	演説	えんぜつ	
new	349089	冷たい	冷たい	つめたい	
new	348891	止む	止む	やむ	
new	348799	飲料	飲料	いんりょう	
new	349044	離島	離島	りとう	
new	349013	短命	短命	たんめい	
new	348937	首が長い	首	くび	
new	348761	都内	都内	とない	
new	349053	配達	配達	はいたつ	
new	348786	職員かいぎ	職員	しょくいん	
new	348807	音	音	おと	
new	348809	化学	化学	かがく	
new	348929	借りました	借りる	かりる	
new	349026	山中町	山中町	やまなかちょう	
new	348792	飲む	飲む	のむ	
new	348986	晴天	晴天	せいてん	
new	349004	太平洋	太平洋	たいへいよう	
new	348947	集合	集合	しゅうごう	
new	348991	積雪	積雪	せきせつ	
new	348916	次の	次	つぎ	
new	348801	肉屋	肉屋	にくや	
new	349036	お昼ご飯	お昼ご飯	おひるごはん	
new	348874	公	公	おおやけ	
new	348848	子牛	子牛	こうし	
new	349098	見ました	見る	みる	
new	349091	有料	有料	ゆうりょう	
new	349028	小鳥	小鳥	ことり	
new	348958	重力	重力	じゅうりょく	
new	348849	銀色	銀色	ぎんいろ	
likely_variant	349095	冷やして	冷やす	ひやす	new_vocab_n4:冷やします/ひやします
new	348748	作り方	作り方	つくりかた	
new	348800	運転	運転	うんてん	
new	348975	ひとり親	ひとり親	ひとりおや	
new	349097	小林	小林	こばやし	
new	348872	決定	決定	けってい	
new	349077	羽毛	羽毛	うもう	
new	348772	両替	両替	りょうがえ	
new	349084	冷えます	冷える	ひえる	
